Subject,Students,Mean grade,%7,%6,Grade_6_7_pct,Reward_Score
MALAY A: LITERATURE SL,372,6.2,22.6,72.6,95.19999999999999,48.36
MACEDONIAN A: LITERATURE SL,56,6.1,35.7,39.3,75.0,45.5
SLOVAK A: LITERATURE HL,15,6.1,20.0,66.7,86.7,43.9
HINDI A: LITERATURE HL,10,6.0,20.0,60.0,80.0,41.2
BENGALI A: LITERATURE SL,42,5.9,28.6,38.1,66.7,39.300000000000004
KISWAHILI A: LITERATURE HL,18,5.8,11.1,72.2,83.3,38.919999999999995
KHMER A: LITERATURE HL,31,5.9,16.1,61.3,77.4,38.580000000000005
ESTONIAN A: LITERATURE SL,21,5.6,28.6,33.3,61.9,37.32
SLOVENE A: LITERATURE HL,87,5.9,16.1,56.3,72.4,36.580000000000005
SESOTHO A: LITERATURE SL,16,5.9,12.5,62.5,75.0,36.18
MONGOLIAN A: LITERATURE SL,65,5.8,18.5,47.7,66.2,35.04
KOREAN A: LITERATURE SL,318,5.8,17.0,50.6,67.6,35.0
MOD. GREEK A: LITERATURE HL,12,5.8,25.0,33.3,58.3,34.48
KHMER A: LITERATURE SL,50,5.7,14.0,54.0,68.0,33.940000000000005
LATVIAN A: LITERATURE HL,40,5.7,10.0,60.0,70.0,33.14
NEPALI A: LITERATURE SL,52,5.8,11.5,55.8,67.3,32.68
INDONESIAN A: LITERATURE HL,21,5.7,4.8,66.7,71.5,31.660000000000004
THAI A: LANGUAGE AND LITERATURE HL,29,5.7,6.9,62.1,69.0,31.500000000000004
MONGOLIAN A: LITERATURE HL,62,5.7,9.7,53.2,62.900000000000006,30.180000000000003
HEBREW A: LITERATURE SL,49,5.4,18.4,34.7,53.1,29.68
KOREAN A: LITERATURE HL,34,5.7,11.8,47.1,58.900000000000006,29.42
KISWAHILI A: LITERATURE SL,79,5.6,3.8,62.0,65.8,28.96
AMHARIC A: LITERATURE SL,50,5.4,6.0,56.0,62.0,28.28
NORWEGIAN A: LANGUAGE AND LITERATURE HL,43,5.5,18.6,27.9,46.5,27.140000000000004
